ID,name,code,description
76167572-6bb0-4c79-997a-8906b73b5351,Human Resources,HR,description-7616757
39541204-f722-44a7-a0ad-4a680bfd46ce,Information Technology,IT,description-3954120
3954121f-0b62-4914-940b-56ca6e3cc798,Sales,SL,description-3954121
3954122e-1895-4b9e-a8de-ebec965843e6,Research and Development,RD,description-3954122
3954123c-e077-4055-b338-f09e7c701182,Engineering,ENG,description-3954123
3954124e-2c62-43be-80bb-ad6094dbe7f7,Media,MD,description-3954124
3954125d-9a17-457f-801d-cefa12195d4e,name-3954125,125,description-3954125
3954126a-27c7-4c25-919f-798ef38397f3,name-3954126,126,description-3954126
39541278-2609-4c81-a04f-e02a28115d93,name-3954127,127,description-3954127
39541283-e56b-4a7f-8d90-85359023e2e9,name-3954128,128,description-3954128
