ID,title,description,dueDate,priority,status,assignedTo_ID
21382042-7428-40f8-9b78-b2b5917175d5,title-21382042,description-21382042,2017-06-03,3,Pending,7409284c-2b56-41b5-b436-85186e1a6bc3
21382043-067e-4051-81e3-00f428fbc795,title-21382043,description-21382043,2013-06-16,2,Completed,7409284c-2b56-41b5-b436-85186e1a6bc3
21382044-9724-4e27-aa4d-a89e8416fb8c,title-21382044,description-21382044,2018-04-22,1,In Progress,7409284c-2b56-41b5-b436-85186e1a6bc3
21382045-c141-4e04-acf1-0740e01bda55,title-21382045,description-21382045,2009-10-24,2,Pending,7409284c-2b56-41b5-b436-85186e1a6bc3
21382046-d859-4db4-95b5-39ff5d77eee7,title-21382046,description-21382046,2021-09-09,1,In Progress,7409285e-bac3-4825-b274-c82c911012cf
21382047-3d34-4f43-aff3-8aa3590c1e16,title-21382047,description-21382047,2010-02-17,3,In Progress,7409285e-bac3-4825-b274-c82c911012cf
21382048-bb79-4a29-a8c3-b6eda295c912,title-21382048,description-21382048,2015-02-16,1,Pending,7409286d-b4ec-46b9-bd66-c94bc7ae6431
21382049-defc-4daf-b76b-287b036f6aa7,title-21382049,description-21382049,2015-10-18,2,Pending,7409286d-b4ec-46b9-bd66-c94bc7ae6431
21382050-656d-4fac-ae70-e3919ca5d8c0,title-21382050,description-21382050,2006-12-12,3,Pending,7409286d-b4ec-46b9-bd66-c94bc7ae6431
21382051-b2be-454d-8bda-e7bf0d4f0353,title-21382051,description-21382051,2009-03-28,1,Completed,7409286d-b4ec-46b9-bd66-c94bc7ae6431
